Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Price Date,Modal Price (Rs./kg),Min Price ,Max price
5787,Nagpur,Kamthi,Guava,Other,Local,1500,2500,18-Dec-24,20,15,25
5788,Nagpur,Kamthi,Guava,Other,Local,1500,2500,18-Feb-25,20,15,25
5789,Nagpur,Kamthi,Guava,Other,Local,1500,2500,18-Jan-25,20,15,25
5790,Nagpur,Kamthi,Guava,Other,Local,1500,2500,18-Oct-24,20,15,25
5791,Nagpur,Kamthi,Guava,Other,Local,1500,2500,18-Sep-24,20,15,25
5792,Nagpur,Kamthi,Guava,Other,Local,1500,2500,19-Jan-25,20,15,25
5793,Nagpur,Kamthi,Guava,Other,Local,1500,2500,19-Nov-24,20,15,25
5794,Nagpur,Kamthi,Guava,Other,Local,1500,2500,20-Nov-24,20,15,25
5795,Nagpur,Kamthi,Guava,Other,Local,1500,2500,20-Sep-24,20,15,25
5796,Nagpur,Kamthi,Guava,Other,Local,1500,2500,21-Feb-25,20,15,25
5797,Nagpur,Kamthi,Guava,Other,Local,1500,2500,21-Jan-25,20,15,25
5798,Nagpur,Kamthi,Guava,Other,Local,1500,2500,21-Mar-25,20,15,25
5799,Nagpur,Kamthi,Guava,Other,Local,1500,2500,21-Nov-24,20,15,25
5800,Nagpur,Kamthi,Guava,Other,Local,1500,2500,21-Sep-24,20,15,25
5801,Nagpur,Kamthi,Guava,Other,Local,1500,2500,22-Dec-24,20,15,25
5802,Nagpur,Kamthi,Guava,Other,Local,1500,2500,22-Jan-25,20,15,25
5803,Nagpur,Kamthi,Guava,Other,Local,1500,2500,22-Nov-24,20,15,25
5804,Nagpur,Kamthi,Guava,Other,Local,1500,2500,22-Sep-24,20,15,25
5805,Nagpur,Kamthi,Guava,Other,Local,1500,2500,23-Dec-24,20,15,25
5806,Nagpur,Kamthi,Guava,Other,Local,1500,2500,23-Feb-25,20,15,25
5807,Nagpur,Kamthi,Guava,Other,Local,1500,2500,24-Dec-24,20,15,25
5808,Nagpur,Kamthi,Guava,Other,Local,1500,2500,24-Jan-25,20,15,25
5809,Nagpur,Kamthi,Guava,Other,Local,1500,2500,24-Nov-24,20,15,25
5810,Nagpur,Kamthi,Guava,Other,Local,1500,2500,24-Sep-24,20,15,25
5811,Nagpur,Kamthi,Guava,Other,Local,1500,2500,25-Apr-25,20,15,25
5812,Nagpur,Kamthi,Guava,Other,Local,1500,2500,25-Jan-25,20,15,25
5813,Nagpur,Kamthi,Guava,Other,Local,1500,2500,25-Nov-24,20,15,25
5814,Nagpur,Kamthi,Guava,Other,Local,1500,2500,25-Sep-24,20,15,25
5815,Nagpur,Kamthi,Guava,Other,Local,1500,2500,26-Dec-24,20,15,25
5816,Nagpur,Kamthi,Guava,Other,Local,1500,2500,26-Jan-25,20,15,25
5817,Nagpur,Kamthi,Guava,Other,Local,1500,2500,26-Nov-24,20,15,25
5818,Nagpur,Kamthi,Guava,Other,Local,1500,2500,26-Oct-24,20,15,25
5819,Nagpur,Kamthi,Guava,Other,Local,1500,2500,26-Sep-24,20,15,25
5820,Nagpur,Kamthi,Guava,Other,Local,1500,2500,27-Dec-24,20,15,25
5821,Nagpur,Kamthi,Guava,Other,Local,1500,2500,27-Nov-24,20,15,25
5822,Nagpur,Kamthi,Guava,Other,Local,1500,2500,27-Oct-24,20,15,25
5823,Nagpur,Kamthi,Guava,Other,Local,1500,2500,27-Sep-24,20,15,25
5824,Nagpur,Kamthi,Guava,Other,Local,1500,2500,28-Jan-25,20,15,25
5825,Nagpur,Kamthi,Guava,Other,Local,1500,2500,28-Nov-24,20,15,25
5826,Nagpur,Kamthi,Guava,Other,Local,1500,2500,28-Sep-24,20,15,25
5827,Nagpur,Kamthi,Guava,Other,Local,1500,2500,29-Dec-24,20,15,25
5828,Nagpur,Kamthi,Guava,Other,Local,1500,2500,29-Sep-24,20,15,25
5829,Nagpur,Kamthi,Guava,Other,Local,1500,2500,30-Jan-25,20,15,25
5830,Nagpur,Kamthi,Guava,Other,Local,1500,2500,30-Sep-24,20,15,25
5831,Nagpur,Kamthi,Guava,Other,Local,1500,2500,31-Dec-24,20,15,25
5832,Nagpur,Kamthi,Guava,Other,Local,1500,2500,31-Jan-25,20,15,25
5833,Nagpur,Kamthi,Guava,Other,Local,2000,3000,1-Feb-25,25,20,30
5834,Nagpur,Kamthi,Guava,Other,Local,2000,3000,1-Nov-24,25,20,30
5835,Nagpur,Kamthi,Guava,Other,Local,2000,3000,4-Mar-25,25,20,30
5836,Nagpur,Kamthi,Guava,Other,Local,2000,3000,5-Mar-25,25,20,30
5837,Nagpur,Kamthi,Guava,Other,Local,2000,3000,17-Apr-25,25,20,30
5838,Nagpur,Kamthi,Guava,Other,Local,2000,3000,18-Mar-25,25,20,30
5839,Nagpur,Kamthi,Guava,Other,Local,2000,3000,22-Oct-24,25,20,30
5840,Nagpur,Kamthi,Guava,Other,Local,2000,3000,23-Jan-25,25,20,30
5841,Nagpur,Kamthi,Guava,Other,Local,2000,3000,24-Feb-25,25,20,30
5842,Nagpur,Kamthi,Guava,Other,Local,2000,3000,24-Oct-24,25,20,30
5843,Nashik,Nasik,Guava,Other,Local,850,2500,15-Dec-24,17.5,8.5,25
5844,Nashik,Nasik,Guava,Other,Local,900,1400,26-Mar-25,12,9,14
5845,Nashik,Nasik,Guava,Other,Local,900,1750,10-Nov-24,11.5,9,17.5
5846,Nashik,Nasik,Guava,Other,Local,1000,1750,16-Feb-25,15,10,17.5
5847,Nashik,Nasik,Guava,Other,Local,1000,2000,13-Feb-25,15,10,20
5848,Nashik,Nasik,Guava,Other,Local,1000,2000,14-Feb-25,15,10,20
5849,Nashik,Nasik,Guava,Other,Local,1500,2750,26-Jan-25,22.5,15,27.5
5850,Nashik,Nasik,Guava,Other,Local,1500,4000,1-Sep-24,35,15,40
5851,Nashik,Nasik,Guava,Other,Local,1500,4000,2-Sep-24,35,15,40
5852,Nashik,Nasik,Guava,Other,Local,1500,4000,3-Sep-24,35,15,40
5853,Nashik,Nasik,Guava,Other,Local,1500,4000,4-Sep-24,35,15,40
5854,Nashik,Nasik,Guava,Other,Local,1500,4000,5-Sep-24,35,15,40
5855,Nashik,Nasik,Guava,Other,Local,1500,4000,9-Sep-24,35,15,40
5856,Nashik,Nasik,Guava,Other,Local,1500,4000,11-Sep-24,35,15,40
5857,Nashik,Nasik,Guava,Other,Local,1500,4000,12-Sep-24,35,15,40
5858,Nashik,Nasik,Guava,Other,Local,1500,4000,13-Sep-24,35,15,40
5859,Nashik,Nasik,Guava,Other,Local,1500,4000,16-Sep-24,35,15,40
5860,Nashik,Nasik,Guava,Other,Local,1500,4000,17-Sep-24,35,15,40
5861,Nashik,Nasik,Guava,Other,Local,2000,4000,7-Jul-25,30,20,40
5862,Nashik,Nasik,Guava,Other,Local,2000,5000,9-Jul-25,40,20,50
5863,Nashik,Nasik,Guava,Other,Local,2000,5000,10-Jul-25,40,20,50
5864,Nashik,Nasik,Guava,Other,Local,2000,5000,11-Jul-25,40,20,50
5865,Nashik,Nasik,Guava,Other,Local,2000,5000,13-Jul-25,40,20,50
5866,Nashik,Nasik,Guava,Other,Local,2000,5000,16-Jul-25,40,20,50
5867,Nashik,Nasik,Guava,Other,Local,2000,5000,17-Jul-25,40,20,50
5868,Nashik,Nasik,Guava,Other,Local,2000,5000,18-Jul-25,40,20,50
5869,Nashik,Nasik,Guava,Other,Local,2000,5000,18-Sep-24,40,20,50
5870,Nashik,Nasik,Guava,Other,Local,2000,5000,19-Sep-24,40,20,50
5871,Nashik,Nasik,Guava,Other,Local,2000,5000,20-Jul-25,40,20,50
5872,Nashik,Nasik,Guava,Other,Local,2000,5000,20-Sep-24,40,20,50
5873,Nashik,Nasik,Guava,Other,Local,2000,5000,21-Jul-25,40,20,50
5874,Nashik,Nasik,Guava,Other,Local,2000,5000,21-Sep-24,40,20,50
5875,Nashik,Nasik,Guava,Other,Local,2000,5000,22-Jul-25,40,20,50
5876,Nashik,Nasik,Guava,Other,Local,2000,5000,22-Sep-24,40,20,50
5877,Nashik,Nasik,Guava,Other,Local,2000,5000,23-Jul-25,40,20,50
5878,Nashik,Nasik,Guava,Other,Local,2000,5000,25-Jul-25,40,20,50
5879,Nashik,Nasik,Guava,Other,Local,2000,6000,31-Mar-25,50,20,60
5880,Nashik,Nasik,Guava,Other,Local,2800,5500,25-Oct-24,45,28,55
5881,Nashik,Nasik,Guava,Other,Local,3000,5500,2-Jun-25,45,30,55
5882,Nashik,Nasik,Guava,Other,Local,3000,5500,3-Jun-25,45,30,55
5883,Nashik,Nasik,Guava,Other,Local,3000,5500,11-May-25,45,30,55
5884,Nashik,Nasik,Guava,Other,Local,3000,5500,12-May-25,45,30,55
5885,Nashik,Nasik,Guava,Other,Local,3000,5500,13-May-25,45,30,55
5886,Nashik,Nasik,Guava,Other,Local,3000,5500,15-May-25,45,30,55
5887,Nashik,Nasik,Guava,Other,Local,3000,5500,17-May-25,45,30,55
5888,Nashik,Nasik,Guava,Other,Local,3000,5500,18-May-25,45,30,55
5889,Nashik,Nasik,Guava,Other,Local,3000,5500,19-May-25,45,30,55
5890,Nashik,Nasik,Guava,Other,Local,3000,5500,20-May-25,45,30,55
5891,Nashik,Nasik,Guava,Other,Local,3000,5500,21-May-25,45,30,55
5892,Nashik,Nasik,Guava,Other,Local,3000,5500,22-May-25,45,30,55
5893,Nashik,Nasik,Guava,Other,Local,3000,5500,23-Jun-25,45,30,55
5894,Nashik,Nasik,Guava,Other,Local,3000,5500,23-May-25,45,30,55
5895,Nashik,Nasik,Guava,Other,Local,3000,5500,24-May-25,45,30,55
5896,Nashik,Nasik,Guava,Other,Local,3000,5500,25-Jun-25,45,30,55
5897,Nashik,Nasik,Guava,Other,Local,3000,5500,25-May-25,45,30,55
5898,Nashik,Nasik,Guava,Other,Local,3000,5500,26-Jun-25,45,30,55
5899,Nashik,Nasik,Guava,Other,Local,3000,5500,26-May-25,45,30,55
5900,Nashik,Nasik,Guava,Other,Local,3000,5500,27-Jun-25,45,30,55
5901,Nashik,Nasik,Guava,Other,Local,3000,5500,27-May-25,45,30,55
5902,Nashik,Nasik,Guava,Other,Local,3000,5500,28-May-25,45,30,55
5903,Nashik,Nasik,Guava,Other,Local,3000,5500,29-Jun-25,45,30,55
5904,Nashik,Nasik,Guava,Other,Local,3000,5500,29-May-25,45,30,55
5905,Nashik,Nasik,Guava,Other,Local,3000,5500,31-May-25,45,30,55
5906,Nashik,Nasik,Guava,Other,Local,3000,5500,5-Dec-24,48,30,55
5907,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Apr-25,50,30,60
5908,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Dec-24,50,30,60
5909,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Feb-25,50,30,60
5910,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Jan-25,50,30,60
5911,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Mar-25,50,30,60
5912,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Nov-24,50,30,60
5913,Nashik,Nasik,Guava,Other,Local,3000,6000,1-Oct-24,50,30,60
5914,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Apr-25,50,30,60
5915,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Dec-24,50,30,60
5916,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Jan-25,50,30,60
5917,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Mar-25,50,30,60
5918,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Nov-24,50,30,60
5919,Nashik,Nasik,Guava,Other,Local,3000,6000,2-Oct-24,50,30,60
5920,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Dec-24,50,30,60
5921,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Feb-25,50,30,60
5922,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Jan-25,50,30,60
5923,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Mar-25,50,30,60
5924,Nashik,Nasik,Guava,Other,Local,3000,6000,3-May-25,50,30,60
5925,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Nov-24,50,30,60
5926,Nashik,Nasik,Guava,Other,Local,3000,6000,3-Oct-24,50,30,60
5927,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Apr-25,50,30,60
5928,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Dec-24,50,30,60
5929,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Feb-25,50,30,60
5930,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Jan-25,50,30,60
5931,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Mar-25,50,30,60
5932,Nashik,Nasik,Guava,Other,Local,3000,6000,4-May-25,50,30,60
5933,Nashik,Nasik,Guava,Other,Local,3000,6000,4-Oct-24,50,30,60
5934,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Apr-25,50,30,60
5935,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Feb-25,50,30,60
5936,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Jan-25,50,30,60
5937,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Mar-25,50,30,60
5938,Nashik,Nasik,Guava,Other,Local,3000,6000,5-May-25,50,30,60
5939,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Nov-24,50,30,60
5940,Nashik,Nasik,Guava,Other,Local,3000,6000,5-Oct-24,50,30,60
5941,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Apr-25,50,30,60
5942,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Dec-24,50,30,60
5943,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Feb-25,50,30,60
5944,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Jan-25,50,30,60
5945,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Mar-25,50,30,60
5946,Nashik,Nasik,Guava,Other,Local,3000,6000,6-May-25,50,30,60
5947,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Nov-24,50,30,60
5948,Nashik,Nasik,Guava,Other,Local,3000,6000,6-Oct-24,50,30,60
5949,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Apr-25,50,30,60
5950,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Dec-24,50,30,60
5951,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Feb-25,50,30,60
5952,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Jan-25,50,30,60
5953,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Mar-25,50,30,60
5954,Nashik,Nasik,Guava,Other,Local,3000,6000,7-May-25,50,30,60
5955,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Nov-24,50,30,60
5956,Nashik,Nasik,Guava,Other,Local,3000,6000,7-Oct-24,50,30,60
5957,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Apr-25,50,30,60
5958,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Dec-24,50,30,60
5959,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Feb-25,50,30,60
5960,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Jan-25,50,30,60
5961,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Mar-25,50,30,60
5962,Nashik,Nasik,Guava,Other,Local,3000,6000,8-May-25,50,30,60
5963,Nashik,Nasik,Guava,Other,Local,3000,6000,8-Nov-24,50,30,60
5964,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Apr-25,50,30,60
5965,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Dec-24,50,30,60
5966,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Jan-25,50,30,60
5967,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Mar-25,50,30,60
5968,Nashik,Nasik,Guava,Other,Local,3000,6000,9-May-25,50,30,60
5969,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Nov-24,50,30,60
5970,Nashik,Nasik,Guava,Other,Local,3000,6000,9-Oct-24,50,30,60
5971,Nashik,Nasik,Guava,Other,Local,3000,6000,10-Apr-25,50,30,60
5972,Nashik,Nasik,Guava,Other,Local,3000,6000,10-Dec-24,50,30,60
5973,Nashik,Nasik,Guava,Other,Local,3000,6000,10-Jan-25,50,30,60
5974,Nashik,Nasik,Guava,Other,Local,3000,6000,10-Mar-25,50,30,60
5975,Nashik,Nasik,Guava,Other,Local,3000,6000,10-May-25,50,30,60
5976,Nashik,Nasik,Guava,Other,Local,3000,6000,10-Oct-24,50,30,60
5977,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Apr-25,50,30,60
5978,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Dec-24,50,30,60
5979,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Jan-25,50,30,60
5980,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Mar-25,50,30,60
5981,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Nov-24,50,30,60
5982,Nashik,Nasik,Guava,Other,Local,3000,6000,11-Oct-24,50,30,60
5983,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Apr-25,50,30,60
5984,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Dec-24,50,30,60
5985,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Jan-25,50,30,60
5986,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Mar-25,50,30,60
5987,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Nov-24,50,30,60
5988,Nashik,Nasik,Guava,Other,Local,3000,6000,12-Oct-24,50,30,60
5989,Nashik,Nasik,Guava,Other,Local,3000,6000,13-Dec-24,50,30,60
5990,Nashik,Nasik,Guava,Other,Local,3000,6000,13-Jan-25,50,30,60
5991,Nashik,Nasik,Guava,Other,Local,3000,6000,13-Mar-25,50,30,60
5992,Nashik,Nasik,Guava,Other,Local,3000,6000,13-Nov-24,50,30,60
5993,Nashik,Nasik,Guava,Other,Local,3000,6000,13-Oct-24,50,30,60
5994,Nashik,Nasik,Guava,Other,Local,3000,6000,14-Apr-25,50,30,60
5995,Nashik,Nasik,Guava,Other,Local,3000,6000,14-Dec-24,50,30,60
5996,Nashik,Nasik,Guava,Other,Local,3000,6000,14-Jan-25,50,30,60
5997,Nashik,Nasik,Guava,Other,Local,3000,6000,14-Nov-24,50,30,60
5998,Nashik,Nasik,Guava,Other,Local,3000,6000,14-Oct-24,50,30,60
5999,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Apr-25,50,30,60
6000,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Feb-25,50,30,60
6001,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Jan-25,50,30,60
6002,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Mar-25,50,30,60
6003,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Nov-24,50,30,60
6004,Nashik,Nasik,Guava,Other,Local,3000,6000,15-Oct-24,50,30,60
6005,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Apr-25,50,30,60
6006,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Dec-24,50,30,60
6007,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Jan-25,50,30,60
6008,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Mar-25,50,30,60
6009,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Nov-24,50,30,60
6010,Nashik,Nasik,Guava,Other,Local,3000,6000,16-Oct-24,50,30,60
6011,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Apr-25,50,30,60
6012,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Dec-24,50,30,60
6013,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Feb-25,50,30,60
6014,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Jan-25,50,30,60
6015,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Mar-25,50,30,60
6016,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Nov-24,50,30,60
6017,Nashik,Nasik,Guava,Other,Local,3000,6000,17-Oct-24,50,30,60
6018,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Dec-24,50,30,60
6019,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Feb-25,50,30,60
6020,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Jan-25,50,30,60
6021,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Mar-25,50,30,60
6022,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Nov-24,50,30,60
6023,Nashik,Nasik,Guava,Other,Local,3000,6000,18-Oct-24,50,30,60
6024,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Dec-24,50,30,60
6025,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Feb-25,50,30,60
6026,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Jan-25,50,30,60
6027,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Mar-25,50,30,60
6028,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Nov-24,50,30,60
6029,Nashik,Nasik,Guava,Other,Local,3000,6000,19-Oct-24,50,30,60
6030,Nashik,Nasik,Guava,Other,Local,3000,6000,20-Dec-24,50,30,60
6031,Nashik,Nasik,Guava,Other,Local,3000,6000,20-Feb-25,50,30,60
6032,Nashik,Nasik,Guava,Other,Local,3000,6000,20-Jan-25,50,30,60
6033,Nashik,Nasik,Guava,Other,Local,3000,6000,20-Oct-24,50,30,60
6034,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Dec-24,50,30,60
6035,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Feb-25,50,30,60
6036,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Jan-25,50,30,60
6037,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Mar-25,50,30,60
6038,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Nov-24,50,30,60
6039,Nashik,Nasik,Guava,Other,Local,3000,6000,21-Oct-24,50,30,60
6040,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Dec-24,50,30,60
6041,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Feb-25,50,30,60
6042,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Jan-25,50,30,60
6043,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Mar-25,50,30,60
6044,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Nov-24,50,30,60
6045,Nashik,Nasik,Guava,Other,Local,3000,6000,22-Oct-24,50,30,60
6046,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Dec-24,50,30,60
6047,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Feb-25,50,30,60
6048,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Jan-25,50,30,60
6049,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Mar-25,50,30,60
6050,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Nov-24,50,30,60
6051,Nashik,Nasik,Guava,Other,Local,3000,6000,23-Oct-24,50,30,60
6052,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Dec-24,50,30,60
6053,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Feb-25,50,30,60
6054,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Jan-25,50,30,60
6055,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Nov-24,50,30,60
6056,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Oct-24,50,30,60
6057,Nashik,Nasik,Guava,Other,Local,3000,6000,24-Sep-24,50,30,60
6058,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Apr-25,50,30,60
6059,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Dec-24,50,30,60
6060,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Feb-25,50,30,60
6061,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Jan-25,50,30,60
6062,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Nov-24,50,30,60
6063,Nashik,Nasik,Guava,Other,Local,3000,6000,25-Sep-24,50,30,60
6064,Nashik,Nasik,Guava,Other,Local,3000,6000,26-Dec-24,50,30,60
6065,Nashik,Nasik,Guava,Other,Local,3000,6000,26-Nov-24,50,30,60
6066,Nashik,Nasik,Guava,Other,Local,3000,6000,26-Sep-24,50,30,60
6067,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Dec-24,50,30,60
6068,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Feb-25,50,30,60
6069,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Jan-25,50,30,60
6070,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Mar-25,50,30,60
6071,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Nov-24,50,30,60
6072,Nashik,Nasik,Guava,Other,Local,3000,6000,27-Sep-24,50,30,60
6073,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Dec-24,50,30,60
6074,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Feb-25,50,30,60
6075,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Jan-25,50,30,60
6076,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Mar-25,50,30,60
6077,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Nov-24,50,30,60
6078,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Oct-24,50,30,60
6079,Nashik,Nasik,Guava,Other,Local,3000,6000,28-Sep-24,50,30,60
6080,Nashik,Nasik,Guava,Other,Local,3000,6000,29-Dec-24,50,30,60
6081,Nashik,Nasik,Guava,Other,Local,3000,6000,29-Jan-25,50,30,60
6082,Nashik,Nasik,Guava,Other,Local,3000,6000,29-Mar-25,50,30,60
6083,Nashik,Nasik,Guava,Other,Local,3000,6000,29-Oct-24,50,30,60
6084,Nashik,Nasik,Guava,Other,Local,3000,6000,29-Sep-24,50,30,60
6085,Nashik,Nasik,Guava,Other,Local,3000,6000,30-Dec-24,50,30,60
6086,Nashik,Nasik,Guava,Other,Local,3000,6000,30-Jan-25,50,30,60
6087,Nashik,Nasik,Guava,Other,Local,3000,6000,30-Nov-24,50,30,60
6088,Nashik,Nasik,Guava,Other,Local,3000,6000,30-Oct-24,50,30,60
6089,Nashik,Nasik,Guava,Other,Local,3000,6000,30-Sep-24,50,30,60
6090,Nashik,Nasik,Guava,Other,Local,3000,6000,31-Dec-24,50,30,60
6091,Nashik,Nasik,Guava,Other,Local,3000,6000,31-Jan-25,50,30,60
6092,Pune,Pune,Guava,Other,Local,1000,2000,22-Nov-24,15,10,20
6093,Pune,Pune,Guava,Other,Local,1500,5000,24-Mar-25,32,15,50
6094,Pune,Pune,Guava,Other,Local,1000,2500,3-Dec-24,17,10,25
6095,Pune,Pune,Guava,Other,Local,1000,5000,9-Apr-25,30,10,50
6096,Pune,Pune,Guava,Other,Local,1000,3500,24-Dec-24,22,10,35
6097,Pune,Pune,Guava,Other,Local,1000,2000,28-Oct-24,15,10,20
6098,Pune,Pune,Guava,Other,Local,1000,3500,13-Oct-24,22,10,35
6099,Pune,Pune,Guava,Other,Local,1500,2500,25-Oct-24,20,15,25
6100,Pune,Pune,Guava,Other,Local,1000,5000,29-Apr-25,30,10,50
6101,Pune,Pune,Guava,Other,Local,1000,5000,17-Nov-24,30,10,50
6102,Pune,Pune,Guava,Other,Local,1500,5000,4-Sep-24,32,15,50
6103,Pune,Pune,Guava,Other,Local,1500,2500,17-Oct-24,20,15,25
6104,Pune,Pune,Guava,Other,Local,1000,1500,13-Nov-24,12,10,15
6105,Pune,Pune,Guava,Other,Local,2000,5000,2-Apr-25,35,20,50
6106,Pune,Pune,Guava,Other,Local,2500,5000,16-Feb-25,37,25,50
6107,Pune,Pune,Guava,Other,Local,1500,3500,13-Jan-25,25,15,35
6108,Pune,Pune,Guava,Other,Local,1000,4500,23-Sep-24,27,10,45
